id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-MG-31085","BR-MG","BR-SE","BR","31085","Taiobeiras","taiobeiras","139307"
"BR-MG-31086","BR-MG","BR-SE","BR","31086","Divinópolis","divinopolis","351052"
"BR-MG-31087","BR-MG","BR-SE","BR","31087","Lagoa da Prata/Sto Ant do Monte","lagoa-da-pratasto-ant-do-monte","128822"
"BR-MG-31088","BR-MG","BR-SE","BR","31088","Oliveira/Santo Antônio do Amparo","oliveirasanto-antonio-do-amparo","105654"
"BR-MG-31089","BR-MG","BR-SE","BR","31089","Campo Belo","campo-belo","99524"
"BR-MG-31090","BR-MG","BR-SE","BR","31090","Lima Duarte","lima-duarte","70832"
"BR-MG-31091","BR-MG","BR-SE","BR","31091","Cassia","cassia","50445"
"BR-MG-31092","BR-MG","BR-SE","BR","31092","Passos","passos","212096"
"BR-MG-31093","BR-MG","BR-SE","BR","31093","Piumhi","piumhi","76959"
"BR-MG-31094","BR-MG","BR-SE","BR","31094","Almenara/Jacinto","almenarajacinto","171474"
"BR-MG-31095","BR-MG","BR-SE","BR","31095","Serro","serro","50545"
"BR-MG-31096","BR-MG","BR-SE","BR","31096","Itambacuri","itambacuri","44524"
"BR-MG-31097","BR-MG","BR-SE","BR","31097","Juiz de Fora","juiz-de-fora","621864"
"BR-MG-31098","BR-MG","BR-SE","BR","31098","salinas","salinas","68710"
"BR-MG-31099","BR-MG","BR-SE","BR","31099","Teófilo Otoni / Malacacheta","teofilo-otoni-malacacheta","280965"
"BR-MS-50001","BR-MS","BR-CO","BR","50001","Campo Grande","campo-grande","1520047"
"BR-MS-50002","BR-MS","BR-CO","BR","50002","Corumbá","corumba","134766"
"BR-MS-50003","BR-MS","BR-CO","BR","50003","Dourados","dourados","840545"
"BR-MS-50004","BR-MS","BR-CO","BR","50004","Três Lagoas","tres-lagoas","283628"
"BR-MT-51001","BR-MT","BR-CO","BR","51001","Alto Tapajós","alto-tapajos","107911"
"BR-MT-51002","BR-MT","BR-CO","BR","51002","Baixada Cuiabana","baixada-cuiabana","1008820"
"BR-MT-51003","BR-MT","BR-CO","BR","51003","Araguaia Xingu","araguaia-xingu","90760"
"BR-MT-51004","BR-MT","BR-CO","BR","51004","Centro Norte","centro-norte","101178"
"BR-MT-51005","BR-MT","BR-CO","BR","51005","Garças Araguaia","garcas-araguaia","126381"
"BR-MT-51006","BR-MT","BR-CO","BR","51006","Médio Araguaia","medio-araguaia","98762"
"BR-MT-51007","BR-MT","BR-CO","BR","51007","Médio Norte Matogrossense","medio-norte-matogrossense","248714"
"BR-MT-51008","BR-MT","BR-CO","BR","51008","Noroeste Matogrossense","noroeste-matogrossense","165972"
"BR-MT-51009","BR-MT","BR-CO","BR","51009","Norte Araguaia Karajá","norte-araguaia-karaja","24897"
"BR-MT-51010","BR-MT","BR-CO","BR","51010","Norte Matogrossense","norte-matogrossense","68763"
"BR-MT-51011","BR-MT","BR-CO","BR","51011","Oeste Matogrossense","oeste-matogrossense","198231"
"BR-MT-51012","BR-MT","BR-CO","BR","51012","Sudoeste Matogrossense","sudoeste-matogrossense","119311"
"BR-MT-51013","BR-MT","BR-CO","BR","51013","Sul Matogrossense","sul-matogrossense","531245"
